aba,nivel_governanca,tipo_aba,status_operacional,fonte_verdade,make_pode_ler,os_pode_ler,relatorio_pode_ler,modo_coleta,contem_dado_sensivel,tipo_dado_sensivel,risco,acao_recomendada,prioridade,observacao
MELHORES_HORARIOS_POSTAGEM,B_OPERACIONAL,controle_operacional,ativa,nao,nao,sim,nao,nao_aplicavel,nao,,baixo,Manter,P2,
CONTRATOS_METRICAS,B_OPERACIONAL,controle_operacional,ativa,nao,nao,sim,nao,nao_aplicavel,nao,,baixo,Manter,P2,
STATUS_INTEGRACOES,B_OPERACIONAL,controle_operacional,ativa,nao,nao,sim,nao,nao_aplicavel,nao,,baixo,Manter,P2,
INSTAGRAM_CONTEUDO_RAW,C_METRICA_RAW_API,metrica_api,ativa,nao,sim,nao,nao,api,nao,,baixo,Make roteia pra ca,P1,
INSTAGRAM_PERFIL_DIARIO,C_METRICA_RAW_API,metrica_api,ativa,nao,sim,nao,nao,api,nao,,baixo,Make roteia pra ca,P1,
INSTAGRAM_POSTS_RAW,C_METRICA_RAW_API,metrica_api,ativa,nao,sim,nao,nao,api,nao,,baixo,Make roteia pra ca,P1,
INSTAGRAM_STORIES_RAW,C_METRICA_RAW_API,metrica_api,ativa,nao,sim,nao,nao,api,nao,,baixo,Make roteia pra ca,P1,
INSTAGRAM_INSIGHTS_CONTEUDO,C_METRICA_RAW_API,metrica_api,ativa,nao,sim,nao,nao,api,nao,,baixo,Make roteia pra ca,P1,
GA4_DIARIO,C_METRICA_RAW_API,metrica_api,ativa,nao,sim,nao,nao,api,nao,,baixo,Manter,P2,
GA4_EVENTOS,C_METRICA_RAW_API,metrica_api,ativa,nao,sim,nao,nao,api,nao,,baixo,Manter,P2,
CLARITY_DIARIO,C_METRICA_RAW_API,metrica_api,ativa,nao,sim,nao,nao,api,nao,,baixo,Manter,P2,
SEARCH_CONSOLE_DIARIO,C_METRICA_RAW_API,metrica_api,ativa,nao,sim,nao,nao,api,nao,,baixo,Manter,P2,
SEARCH_CONSOLE_CONSULTAS,C_METRICA_RAW_API,metrica_api,ativa,nao,sim,nao,nao,api,nao,,baixo,Manter,P2,
META_ADS_DIARIO,C_METRICA_RAW_API,metrica_api,ativa,nao,sim,nao,nao,api,nao,,baixo,Manter,P2,
INSTAGRAM_MANUAL_DIARIO,D_MANUAL,metrica_manual,ativa,nao,nao,sim,nao,manual,nao,,baixo,Make ignora,P1,Oficial
INSTAGRAM_CONTEUDO_MANUAL,D_MANUAL,metrica_manual,ativa,nao,nao,sim,nao,manual,nao,,baixo,Make ignora,P1,Oficial
INSTAGRAM_DIARIO,E_CONSOLIDADA,metrica_consolidada,ativa,nao,nao,sim,sim,hibrido,nao,,baixo,Ponte pro relatorio,P1,
INSTAGRAM_AUDIENCIA,E_CONSOLIDADA,metrica_consolidada,ativa,nao,nao,sim,sim,hibrido,nao,,baixo,Consolida Manual/API,P1,
INSTAGRAM_CRESCIMENTO,E_CONSOLIDADA,metrica_consolidada,ativa,nao,nao,sim,sim,hibrido,nao,,baixo,Consolida Manual/API,P1,
ANALISE_MENSAL_CLIENTE,E_CONSOLIDADA,metrica_consolidada,ativa,nao,nao,sim,sim,nao_aplicavel,nao,,baixo,Revisao humana,P2,
KPI_EXECUTIVO,E_CONSOLIDADA,relatorio,ativa,nao,nao,sim,sim,nao_aplicavel,nao,,baixo,Dashboard Admin,P2,
CONSOLIDADO_DIARIO,E_CONSOLIDADA,metrica_consolidada,ativa,nao,nao,sim,sim,hibrido,nao,,baixo,Consolidacao,P2,
CONSOLIDADO_SEMANAL,E_CONSOLIDADA,metrica_consolidada,ativa,nao,nao,sim,sim,hibrido,nao,,baixo,Consolidacao,P2,
RELATORIO_OPERACIONAL_FLUXAI,E_CONSOLIDADA,relatorio,ativa,nao,nao,sim,sim,nao_aplicavel,nao,,baixo,Saida estrategica,P2,
BACKUP_LIMPEZA_[TELEFONE_REMOVIDO]_033858,F_LEGADO,legado,arquivo,nao,nao,nao,nao,nao_aplicavel,nao,,medio,Isolar,P1,Sujo
INVENTARIO_ABAS,F_LEGADO,apoio,arquivo,nao,nao,nao,nao,nao_aplicavel,nao,,baixo,Arquivar,P2,
LISTAS_VALIDACAO,F_LEGADO,apoio,arquivo,nao,nao,nao,nao,nao_aplicavel,nao,,baixo,Arquivar,P2,
README_ECOSSISTEMA,F_LEGADO,documentacao,arquivo,nao,nao,nao,nao,nao_aplicavel,nao,,baixo,Arquivar,P2,
ROTAS_MAKE_FUTURAS,F_LEGADO,controle_make,futura,nao,nao,nao,nao,nao_aplicavel,sim,token_necessario,baixo,Neutralizada e isolada,P3,Rota futura. Risco neutralizado.
LEADS,F_LEGADO,legado,arquivo,nao,nao,nao,nao,nao_aplicavel,nao,,baixo,Arquivar,P2,
ALERTAS,F_LEGADO,legado,arquivo,nao,nao,nao,nao,nao_aplicavel,nao,,baixo,Arquivar,P2,
ALERTAS_SITE,F_LEGADO,legado,arquivo,nao,nao,nao,nao,nao_aplicavel,nao,,baixo,Arquivar,P2,
RESUMO_SEMANAL,F_LEGADO,legado,arquivo,nao,nao,nao,nao,nao_aplicavel,nao,,baixo,Arquivar,P2,
RESUMO_SITE,F_LEGADO,legado,arquivo,nao,nao,nao,nao,nao_aplicavel,nao,,baixo,Arquivar,P2,
INSIGHTS_CONTEUDO,F_LEGADO,legado,arquivo,nao,nao,nao,nao,nao_aplicavel,nao,,baixo,Arquivar,P2,
UTMS,F_LEGADO,legado,arquivo,nao,nao,nao,nao,nao_aplicavel,nao,,baixo,Arquivar,P2,
GPT_GERACOES_LOG,B_OPERACIONAL,log,ativa,nao,sim,sim,nao,nao_aplicavel,sim,tokens_estimados,baixo,Append-only e redigida,P3,Logs sensiveis redigidos e salvos no Drive.
